regione,ricoverati,terapia_intensiva,isolamento_domiciliare,positivi,guariti,morti,casi_totali,tamponi
Abruzzo,0,0,0,0,0,0,0,5
Basilicata,0,0,0,0,0,0,0,0
Bolzano,1,0,0,1,0,0,1,1
Calabria,0,0,0,0,0,0,0,2
Campania,0,0,0,0,0,0,0,10
Emilia Romagna,12,2,9,23,0,0,23,148
Friuli V.G.,0,0,0,0,0,0,0,86
Lazio,1,1,0,2,1,0,3,124
Liguria,0,0,0,0,0,0,0,35
Lombardia,76,21,109,206,0,6,212,3298
Marche,0,0,0,0,0,0,0,18
Molise,0,0,0,0,0,0,0,0
Piemonte,2,0,1,3,0,0,3,141
Puglia,0,0,0,0,0,0,0,0
Sardegna,0,0,0,0,0,0,0,1
Sicilia,1,0,0,1,0,0,1,5
Toscana,2,0,0,2,0,0,2,140
Trento,0,0,0,0,0,0,0,3
Umbria,0,0,0,0,0,0,0,0
Valle Dâ€™Aosta,0,0,0,0,0,0,0,7
Veneto,14,5,18,37,0,1,38,2200
