region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested,date
Abruzzo,14,0,3,17,0,0,17,163,2020-03-08
Basilicata,2,0,2,4,0,0,4,123,2020-03-08
Bolzano,8,0,1,9,0,0,9,36,2020-03-08
Calabria,5,0,4,9,0,0,9,113,2020-03-08
Campania,30,7,63,100,1,0,101,980,2020-03-08
Emilia Romagna,542,75,480,1097,27,56,1180,4344,2020-03-08
Friuli V.G.,7,1,45,53,3,1,57,997,2020-03-08
Lazio,47,8,26,81,3,3,87,1929,2020-03-08
Liguria,39,11,17,67,5,6,78,401,2020-03-08
Lombardia,2217,399,756,3372,550,267,4189,18534,2020-03-08
Marche,110,41,114,265,0,7,272,1025,2020-03-08
Molise,4,2,8,14,0,0,14,116,2020-03-08
Piemonte,245,45,65,355,0,5,360,1636,2020-03-08
Puglia,17,3,16,36,1,3,40,627,2020-03-08
Sardegna,5,0,6,11,0,0,11,149,2020-03-08
Sicilia,18,0,33,51,2,0,53,791,2020-03-08
Toscana,91,7,67,165,1,0,166,1618,2020-03-08
Trento,7,2,14,23,0,0,23,228,2020-03-08
Umbria,2,2,22,26,0,0,26,168,2020-03-08
Valle Dâ€™Aosta,1,0,8,9,0,0,9,41,2020-03-08
Veneto,146,47,430,623,29,18,670,15918,2020-03-08
