date,region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
2020-02-25,Abruzzo,0,0,0,0,0,0,0,5
2020-02-25,Basilicata,0,0,0,0,0,0,0,0
2020-02-25,Bolzano,1,0,0,1,0,0,1,1
2020-02-25,Calabria,0,0,0,0,0,0,0,2
2020-02-25,Campania,0,0,0,0,0,0,0,10
2020-02-25,Emilia Romagna,12,2,9,23,0,0,23,148
2020-02-25,Friuli V.G.,0,0,0,0,0,0,0,86
2020-02-25,Lazio,1,1,0,2,1,0,3,124
2020-02-25,Liguria,0,0,0,0,0,0,0,35
2020-02-25,Lombardia,76,21,109,206,0,6,212,3298
2020-02-25,Marche,0,0,0,0,0,0,0,18
2020-02-25,Molise,0,0,0,0,0,0,0,0
2020-02-25,Piemonte,2,0,1,3,0,0,3,141
2020-02-25,Puglia,0,0,0,0,0,0,0,0
2020-02-25,Sardegna,0,0,0,0,0,0,0,1
2020-02-25,Sicilia,1,0,0,1,0,0,1,5
2020-02-25,Toscana,2,0,0,2,0,0,2,140
2020-02-25,Trento,0,0,0,0,0,0,0,3
2020-02-25,Umbria,0,0,0,0,0,0,0,0
2020-02-25,Valle D’Aosta,0,0,0,0,0,0,0,7
2020-02-25,Veneto,14,5,18,37,0,1,38,2200
2020-02-26,Abruzzo,0,0,0,0,0,0,0,13
2020-02-26,Basilicata,0,0,0,0,0,0,0,0
2020-02-26,Bolzano,1,0,0,1,0,0,1,1
2020-02-26,Calabria,0,0,0,0,0,0,0,3
2020-02-26,Campania,0,0,0,0,0,0,0,10
2020-02-26,Emilia Romagna,20,3,23,46,0,1,47,577
2020-02-26,Friuli V.G.,0,0,0,0,0,0,0,114
2020-02-26,Lazio,0,0,0,0,3,0,3,124
2020-02-26,Liguria,6,0,5,11,0,0,11,66
2020-02-26,Lombardia,79,25,145,249,0,9,258,3208
2020-02-26,Marche,1,0,0,1,0,0,1,28
2020-02-26,Molise,0,0,0,0,0,0,0,0
2020-02-26,Piemonte,2,0,1,3,0,0,3,156
2020-02-26,Puglia,0,0,0,0,0,0,0,0
2020-02-26,Sardegna,0,0,0,0,0,0,0,1
2020-02-26,Sicilia,1,0,2,3,0,0,3,5
2020-02-26,Toscana,2,0,0,2,0,0,2,363
2020-02-26,Trento,0,0,0,0,0,0,0,3
2020-02-26,Umbria,0,0,0,0,0,0,0,8
2020-02-26,Valle D’Aosta,0,0,0,0,0,0,0,7
2020-02-26,Veneto,16,8,45,69,0,2,71,4900
2020-02-27,Abruzzo,1,0,0,1,0,0,1,33
2020-02-27,Basilicata,0,0,0,0,0,0,0,0
2020-02-27,Bolzano,1,0,0,1,0,0,1,2
2020-02-27,Calabria,0,0,0,0,0,0,0,14
2020-02-27,Campania,2,0,1,3,0,0,3,10
2020-02-27,Emilia Romagna,36,6,54,96,0,1,97,1033
2020-02-27,Friuli V.G.,0,0,0,0,0,0,0,141
2020-02-27,Lazio,0,0,0,0,3,0,3,552
2020-02-27,Liguria,9,0,10,19,0,0,19,78
2020-02-27,Lombardia,172,41,136,349,40,14,403,3320
2020-02-27,Marche,2,1,0,3,0,0,3,46
2020-02-27,Molise,0,0,0,0,0,0,0,0
2020-02-27,Piemonte,2,0,0,2,0,0,2,156
2020-02-27,Puglia,1,0,0,1,0,0,1,0
2020-02-27,Sardegna,0,0,0,0,0,0,0,1
2020-02-27,Sicilia,1,0,1,2,2,0,4,5
2020-02-27,Toscana,2,0,0,2,0,0,2,410
2020-02-27,Trento,0,0,0,0,0,0,0,32
2020-02-27,Umbria,0,0,0,0,0,0,0,8
2020-02-27,Valle D’Aosta,0,0,0,0,0,0,0,9
2020-02-27,Veneto,19,8,82,109,0,2,111,6164
2020-02-28,Abruzzo,1,0,0,1,0,0,1,33
2020-02-28,Basilicata,0,0,0,0,0,0,0,0
2020-02-28,Bolzano,1,0,0,1,0,0,1,2
2020-02-28,Calabria,0,0,1,1,0,0,1,21
2020-02-28,Campania,2,0,2,4,0,0,4,213
2020-02-28,Emilia Romagna,56,6,81,143,0,2,145,1277
2020-02-28,Friuli V.G.,0,0,0,0,0,0,0,169
2020-02-28,Lazio,0,0,0,0,3,0,3,611
2020-02-28,Liguria,9,0,10,19,0,0,19,112
2020-02-28,Lombardia,235,47,192,474,40,17,531,4835
2020-02-28,Marche,3,2,1,6,0,0,6,47
2020-02-28,Molise,0,0,0,0,0,0,0,0
2020-02-28,Piemonte,7,0,4,11,0,0,11,227
2020-02-28,Puglia,1,0,2,3,0,0,3,242
2020-02-28,Sardegna,0,0,0,0,0,0,0,1
2020-02-28,Sicilia,1,0,1,2,2,0,4,5
2020-02-28,Toscana,5,0,2,7,1,0,8,437
2020-02-28,Trento,0,0,0,0,0,0,0,32
2020-02-28,Umbria,0,0,0,0,0,0,0,8
2020-02-28,Valle D’Aosta,0,0,0,0,0,0,0,9
2020-02-28,Veneto,24,9,116,149,0,2,151,7414
2020-02-29,Abruzzo,2,0,0,2,0,0,2,43
2020-02-29,Basilicata,0,0,0,0,0,0,0,32
2020-02-29,Bolzano,1,0,0,1,0,0,1,16
2020-02-29,Calabria,0,0,1,1,0,0,1,27
2020-02-29,Campania,3,0,10,13,0,0,13,373
2020-02-29,Emilia Romagna,86,11,116,213,0,4,217,1550
2020-02-29,Friuli V.G.,0,0,0,0,0,0,0,189
2020-02-29,Lazio,3,0,0,3,3,0,6,679
2020-02-29,Liguria,4,1,33,38,4,0,42,121
2020-02-29,Lombardia,256,80,216,552,40,23,615,5723
2020-02-29,Marche,6,2,3,11,0,0,11,68
2020-02-29,Molise,0,0,0,0,0,0,0,0
2020-02-29,Piemonte,7,0,4,11,0,0,11,308
2020-02-29,Puglia,1,0,2,3,0,0,3,252
2020-02-29,Sardegna,0,0,0,0,0,0,0,1
2020-02-29,Sicilia,1,0,1,2,2,0,4,6
2020-02-29,Toscana,7,0,3,10,1,0,11,531
2020-02-29,Trento,0,0,0,0,0,0,0,43
2020-02-29,Umbria,0,0,0,0,0,0,0,31
2020-02-29,Valle D’Aosta,0,0,0,0,0,0,0,9
2020-02-29,Veneto,24,11,154,189,0,2,191,8659
2020-03-01,Abruzzo,3,0,2,5,0,0,5,52
2020-03-01,Basilicata,0,0,0,0,0,0,0,39
2020-03-01,Bolzano,1,0,0,1,0,0,1,20
2020-03-01,Calabria,0,0,1,1,0,0,1,35
2020-03-01,Campania,4,0,13,17,0,0,17,373
2020-03-01,Emilia Romagna,127,13,137,277,0,8,285,1795
2020-03-01,Friuli V.G.,0,0,6,6,0,0,6,243
2020-03-01,Lazio,3,0,0,3,3,0,6,724
2020-03-01,Liguria,12,1,8,21,4,0,25,121
2020-03-01,Lombardia,406,106,375,887,73,24,984,6879
2020-03-01,Marche,12,5,8,25,0,0,25,101
2020-03-01,Molise,0,0,0,0,0,0,0,6
2020-03-01,Piemonte,11,2,36,49,0,0,49,362
2020-03-01,Puglia,1,0,2,3,0,0,3,262
2020-03-01,Sardegna,0,0,0,0,0,0,0,29
2020-03-01,Sicilia,1,0,6,7,2,0,9,291
2020-03-01,Toscana,7,0,5,12,1,0,13,572
2020-03-01,Trento,0,0,0,0,0,0,0,122
2020-03-01,Umbria,0,0,2,2,0,0,2,35
2020-03-01,Valle D’Aosta,0,0,0,0,0,0,0,10
2020-03-01,Veneto,51,13,197,261,0,2,263,9056
2020-03-02,Abruzzo,3,0,2,5,0,0,5,52
2020-03-02,Basilicata,0,0,0,0,0,0,0,39
2020-03-02,Bolzano,1,0,0,1,0,0,1,20
2020-03-02,Calabria,0,0,1,1,0,0,1,39
2020-03-02,Campania,4,0,13,17,0,0,17,373
2020-03-02,Emilia Romagna,148,16,160,324,0,11,335,1973
2020-03-02,Friuli V.G.,0,0,9,9,0,0,9,269
2020-03-02,Lazio,3,0,1,4,3,0,7,773
2020-03-02,Liguria,12,1,5,18,4,0,22,121
2020-03-02,Lombardia,478,127,472,1077,139,38,1254,7925
2020-03-02,Marche,17,6,11,34,0,1,35,137
2020-03-02,Molise,0,0,0,0,0,0,0,13
2020-03-02,Piemonte,12,2,37,51,0,0,51,434
2020-03-02,Puglia,2,0,2,4,0,0,4,278
2020-03-02,Sardegna,0,0,0,0,0,0,0,29
2020-03-02,Sicilia,2,0,3,5,2,0,7,307
2020-03-02,Toscana,7,0,5,12,1,0,13,613
2020-03-02,Trento,0,0,0,0,0,0,0,122
2020-03-02,Umbria,0,0,2,2,0,0,2,35
2020-03-02,Valle D’Aosta,0,0,0,0,0,0,0,11
2020-03-02,Veneto,53,14,204,271,0,2,273,9782
2020-03-03,Abruzzo,5,0,1,6,0,0,6,52
2020-03-03,Basilicata,0,0,1,1,0,0,1,42
2020-03-03,Bolzano,1,0,0,1,0,0,1,20
2020-03-03,Calabria,0,0,1,1,0,0,1,39
2020-03-03,Campania,11,0,19,30,0,0,30,405
2020-03-03,Emilia Romagna,187,24,187,398,4,18,420,2012
2020-03-03,Friuli V.G.,1,0,12,13,0,0,13,354
2020-03-03,Lazio,10,0,1,11,3,0,14,877
2020-03-03,Liguria,12,2,5,19,4,1,24,121
2020-03-03,Lombardia,698,167,461,1326,139,55,1520,9577
2020-03-03,Marche,27,13,19,59,0,2,61,200
2020-03-03,Molise,3,0,0,3,0,0,3,13
2020-03-03,Piemonte,13,3,40,56,0,0,56,458
2020-03-03,Puglia,2,0,4,6,0,0,6,298
2020-03-03,Sardegna,1,0,0,1,0,0,1,29
2020-03-03,Sicilia,2,0,3,5,2,0,7,307
2020-03-03,Toscana,10,0,8,18,1,0,19,697
2020-03-03,Trento,1,0,3,4,0,0,4,122
2020-03-03,Umbria,1,1,6,8,0,0,8,45
2020-03-03,Valle D’Aosta,0,0,0,0,0,0,0,12
2020-03-03,Veneto,49,19,229,297,7,3,307,10176
2020-03-04,Abruzzo,7,0,0,7,0,0,7,85
2020-03-04,Basilicata,0,0,1,1,0,0,1,48
2020-03-04,Bolzano,1,0,0,1,0,0,1,20
2020-03-04,Calabria,0,0,1,1,0,0,1,46
2020-03-04,Campania,11,0,20,31,0,0,31,429
2020-03-04,Emilia Romagna,256,26,234,516,6,22,544,2500
2020-03-04,Friuli V.G.,3,0,15,18,0,0,18,376
2020-03-04,Lazio,15,3,9,27,3,0,30,995
2020-03-04,Liguria,10,3,8,21,4,1,26,133
2020-03-04,Lombardia,877,209,411,1497,250,73,1820,12138
2020-03-04,Marche,34,15,31,80,0,4,84,288
2020-03-04,Molise,3,0,0,3,0,0,3,19
2020-03-04,Piemonte,26,13,43,82,0,0,82,543
2020-03-04,Puglia,4,0,3,7,1,1,9,322
2020-03-04,Sardegna,1,0,1,2,0,0,2,42
2020-03-04,Sicilia,5,0,11,16,2,0,18,367
2020-03-04,Toscana,15,2,20,37,1,0,38,776
2020-03-04,Trento,1,0,4,5,0,0,5,122
2020-03-04,Umbria,1,1,7,9,0,0,9,58
2020-03-04,Valle D’Aosta,0,0,0,0,0,0,0,15
2020-03-04,Veneto,76,23,246,345,9,6,360,10515
2020-03-05,Abruzzo,8,0,0,8,0,0,8,96
2020-03-05,Basilicata,0,0,1,1,0,0,1,54
2020-03-05,Bolzano,1,0,0,1,0,0,1,20
2020-03-05,Calabria,1,0,1,2,0,0,2,53
2020-03-05,Campania,12,0,33,45,0,0,45,471
2020-03-05,Emilia Romagna,327,32,299,658,10,30,698,2884
2020-03-05,Friuli V.G.,4,0,17,21,0,0,21,397
2020-03-05,Lazio,20,7,14,41,3,0,44,1175
2020-03-05,Liguria,11,3,7,21,4,3,28,146
2020-03-05,Lombardia,1169,244,364,1777,376,98,2251,12354
2020-03-05,Marche,57,19,44,120,0,4,124,413
2020-03-05,Molise,4,0,3,7,0,0,7,24
2020-03-05,Piemonte,43,17,46,106,0,2,108,543
2020-03-05,Puglia,5,1,6,12,1,1,14,359
2020-03-05,Sardegna,2,0,0,2,0,0,2,50
2020-03-05,Sicilia,5,0,11,16,2,0,18,367
2020-03-05,Toscana,26,3,31,60,1,0,61,776
2020-03-05,Trento,2,0,5,7,0,0,7,122
2020-03-05,Umbria,1,1,7,9,0,0,9,88
2020-03-05,Valle D’Aosta,0,0,2,2,0,0,2,21
2020-03-05,Veneto,92,24,264,380,17,10,407,11949
2020-03-06,Abruzzo,9,0,0,9,0,0,9,96
2020-03-06,Basilicata,1,0,2,3,0,0,3,63
2020-03-06,Bolzano,4,0,0,4,0,0,4,36
2020-03-06,Calabria,2,0,2,4,0,0,4,99
2020-03-06,Campania,12,0,45,57,0,0,57,471
2020-03-06,Emilia Romagna,397,53,366,816,17,37,870,3136
2020-03-06,Friuli V.G.,4,0,24,28,3,0,31,577
2020-03-06,Lazio,26,8,16,50,3,1,54,1373
2020-03-06,Liguria,12,5,7,24,5,3,32,229
2020-03-06,Lombardia,1622,309,77,2008,469,135,2612,13556
2020-03-06,Marche,73,20,62,155,0,4,159,585
2020-03-06,Molise,3,2,7,12,0,0,12,104
2020-03-06,Piemonte,57,30,52,139,0,4,143,793
2020-03-06,Puglia,5,1,9,15,1,1,17,395
2020-03-06,Sardegna,2,0,3,5,0,0,5,99
2020-03-06,Sicilia,7,0,15,22,2,0,24,367
2020-03-06,Toscana,35,5,38,78,1,0,79,1097
2020-03-06,Trento,4,0,6,10,0,0,10,122
2020-03-06,Umbria,2,2,12,16,0,0,16,110
2020-03-06,Valle D’Aosta,0,0,7,7,0,0,7,28
2020-03-06,Veneto,117,27,310,454,22,12,488,13023
2020-03-07,Abruzzo,11,0,0,11,0,0,11,123
2020-03-07,Basilicata,1,0,2,3,0,0,3,75
2020-03-07,Bolzano,8,0,1,9,0,0,9,36
2020-03-07,Calabria,2,0,2,4,0,0,4,113
2020-03-07,Campania,16,0,45,61,0,0,61,612
2020-03-07,Emilia Romagna,464,64,409,937,25,48,1010,3604
2020-03-07,Friuli V.G.,7,1,31,39,3,0,42,577
2020-03-07,Lazio,43,8,21,72,3,1,76,1582
2020-03-07,Liguria,26,6,10,42,5,4,51,331
2020-03-07,Lombardia,1661,359,722,2742,524,154,3420,15778
2020-03-07,Marche,94,36,71,201,0,6,207,816
2020-03-07,Molise,3,2,9,14,0,0,14,112
2020-03-07,Piemonte,110,38,54,202,0,5,207,1046
2020-03-07,Puglia,9,2,12,23,1,2,26,395
2020-03-07,Sardegna,2,0,3,5,0,0,5,99
2020-03-07,Sicilia,8,0,25,33,2,0,35,643
2020-03-07,Toscana,54,7,51,112,1,0,113,1331
2020-03-07,Trento,6,1,7,14,0,0,14,194
2020-03-07,Umbria,2,2,20,24,0,0,24,134
2020-03-07,Valle D’Aosta,1,0,7,8,0,0,8,32
2020-03-07,Veneto,123,41,341,505,25,13,543,14429
2020-03-08,Abruzzo,14,0,3,17,0,0,17,163
2020-03-08,Basilicata,2,0,2,4,0,0,4,123
2020-03-08,Bolzano,8,0,1,9,0,0,9,36
2020-03-08,Calabria,5,0,4,9,0,0,9,113
2020-03-08,Campania,30,7,63,100,1,0,101,980
2020-03-08,Emilia Romagna,542,75,480,1097,27,56,1180,4344
2020-03-08,Friuli V.G.,7,1,45,53,3,1,57,997
2020-03-08,Lazio,47,8,26,81,3,3,87,1929
2020-03-08,Liguria,39,11,17,67,5,6,78,401
2020-03-08,Lombardia,2217,399,756,3372,550,267,4189,18534
2020-03-08,Marche,110,41,114,265,0,7,272,1025
2020-03-08,Molise,4,2,8,14,0,0,14,116
2020-03-08,Piemonte,245,45,65,355,0,5,360,1636
2020-03-08,Puglia,17,3,16,36,1,3,40,627
2020-03-08,Sardegna,5,0,6,11,0,0,11,149
2020-03-08,Sicilia,18,0,33,51,2,0,53,791
2020-03-08,Toscana,91,7,67,165,1,0,166,1618
2020-03-08,Trento,7,2,14,23,0,0,23,228
2020-03-08,Umbria,2,2,22,26,0,0,26,168
2020-03-08,Valle D’Aosta,1,0,8,9,0,0,9,41
2020-03-08,Veneto,146,47,430,623,29,18,670,15918
2020-03-09,Abruzzo,25,0,5,30,0,0,30,237
2020-03-09,Basilicata,2,0,3,5,0,0,5,135
2020-03-09,Bolzano,8,0,1,9,2,0,11,36
2020-03-09,Calabria,8,0,1,9,0,0,9,173
2020-03-09,Campania,42,8,69,119,1,0,120,980
2020-03-09,Emilia Romagna,576,90,620,1286,30,70,1386,4906
2020-03-09,Friuli V.G.,18,1,70,89,3,1,93,1344
2020-03-09,Lazio,55,8,31,94,3,5,102,1929
2020-03-09,Liguria,60,17,20,97,5,7,109,611
2020-03-09,Lombardia,2802,440,1248,4490,646,333,5469,20135
2020-03-09,Marche,136,47,130,313,0,10,323,1250
2020-03-09,Molise,4,2,8,14,0,0,14,212
2020-03-09,Piemonte,222,50,65,337,0,13,350,1681
2020-03-09,Puglia,20,6,20,46,1,3,50,685
2020-03-09,Sardegna,8,0,11,19,0,0,19,185
2020-03-09,Sicilia,19,0,33,52,2,0,54,836
2020-03-09,Toscana,107,9,90,206,1,1,208,2018
2020-03-09,Trento,10,2,21,33,0,0,33,267
2020-03-09,Umbria,4,2,22,28,0,0,28,183
2020-03-09,Valle D’Aosta,4,0,11,15,0,0,15,67
2020-03-09,Veneto,186,51,457,694,30,20,744,15956
